unit_id,arm,split,rows,queries,concurrency,window,input_bytes,result_bytes,pg_window_bytes,statement_timeout_ms,event_mode,flush_rows,producer_trace,query_index,role,status,query_status,query_jct_seconds,elapsed_seconds,recorded_rows,received_rows,recorded_bytes,results_sha256,t_release_ns,t_first_row_ns,t_last_row_ns,t_query_terminal_ns,t_results_durable_ns,t_stream_cleanup_ns,inline_recording_seconds,evaluation_status,exact_match_rows,exact_match_percent,token_f1_percent,error_type,error_sqlstate,independent_producer_verified,valid_rows_per_second,exact_match_rows_per_second
warm-direct2,direct,tuning,16,2,4,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,warmup,completed,completed,1.057616883,1.059970426,16,16,1507,00060c3c89b2546c2aa51539ebad3c17b6eb99c96820b8b96a4bf75d395a63b0,162136063399079,162136308892340,162137120943448,162137121015962,162137121701033,162137121058709,0.000564367,completed,10.0,62.5,84.60193452380953,,,False,15.128351539373073,9.455219712108171
warm-direct2,direct,tuning,16,2,4,128,134217728,134217728,67108864,300000,compact-buffered,64,True,1,warmup,completed,completed,0.806128994,0.807328736,16,16,1507,29667f0c94a7d84364869bbeeed1867220a028a8b72867c0b01283265f167d73,162137123892293,162137205977195,162137929988450,162137930021287,162137930519412,162137930043909,0.000427255,completed,10.0,62.5,84.60193452380953,,,False,19.847940117633332,12.404962573520832
warm-pg,pg,tuning,16,2,4,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,warmup,completed,completed,1.072565761,1.074571452,16,16,1507,180efbe0dc950083ef6f0014737e15540e5e58e6017586d733cb51353de1d842,162139337877212,162140410169488,162140410424898,162140410442973,162140410918551,162140410467116,0.000157527,completed,10.0,62.5,84.60193452380953,,,True,14.917500242672768,9.32343765167048
warm-pg,pg,tuning,16,2,4,128,134217728,134217728,67108864,300000,compact-buffered,64,True,1,warmup,completed,completed,0.834262467,0.835378232,16,16,1507,e48ec926d243e4605794f84c33a635e45805cd6e72070315c6d6d286e4fba469,162140413468714,162141247471637,162141247711235,162141247731181,162141248059431,162141247754443,0.000159875,completed,10.0,62.5,84.60193452380953,,,True,19.17861660196203,11.98663537622627
coarse-direct-c1,direct,tuning,256,1,1,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,29.671905873,29.679859037,256,256,23493,36604b637f6661683fe5ca3e5e26fdb6aec2e7279917527b69cb91960e3407e4,162181897907743,162182211415942,162211569651366,162211569813616,162211576286488,162211569856807,0.010901181,completed,202.0,78.90625,87.91274972548251,,,False,8.627689811895353,6.8077864921986775
coarse-pg-c1,pg,tuning,256,1,1,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,40.778484126,40.78056419,256,256,23493,d56189a55ce5a72323aa8fc14d9d727ef1eebba7b47059d32103c91acea25cf6,162213005244616,162239002629653,162253783686999,162253783728742,162253784083638,162253783765521,0.003736366,completed,202.0,78.90625,87.91274972548251,,,True,6.277820411592413,4.9535926685221385
coarse-pg-c2,pg,tuning,256,1,2,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,26.715917007,26.71796375,256,256,23493,856bf65cab0bdeb9e2621e6233aaadd9721710cc868da6c8e6b6fe1602a988a2,162255261456768,162274172345346,162281977293514,162281977373775,162281977811788,162281977429603,0.003142199,completed,202.0,78.90625,87.91274972548251,,,True,9.58230256266045,7.561035615849261
coarse-direct-c2,direct,tuning,256,1,2,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,17.790652381,17.792731573,256,256,23493,6894e4326273a826f944a4742c2245f2756ac8197c41780eae9a69f3fb8cd31c,162283245372172,162283427845519,162301035870425,162301036024553,162301036599541,162301036050066,0.010051767,completed,202.0,78.90625,87.91274972548251,,,False,14.389579118155442,11.354277272919528
coarse-direct-c4,direct,tuning,256,1,4,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,10.63797158,10.640221382,256,256,23509,26f41535f6df2b16424752576d47285c08952734094ba8bc5e9fdeec55e6fa6e,162302073813393,162302281723297,162312711586380,162312711784973,162312712440155,162312711827861,0.007372542,completed,202.0,78.90625,88.17316639214918,,,False,24.064738101133372,18.988582407925552
coarse-pg-c4,pg,tuning,256,1,4,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,17.137097781,17.139094676,256,256,23506,64bdd67df0701058adcfabc72a201b92a34b181d9e4227e2d7b50f2b20f8d781,162314198118440,162329135803648,162331335147490,162331335216221,162331335601588,162331335269280,0.004175954,completed,201.0,78.515625,87.97785389214918,,,True,14.938352063546528,11.728940487393954
coarse-pg-c8,pg,tuning,256,1,8,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,12.98011897,12.982831007,256,256,23492,567584d90e88ef7c0807f952882dbeb5aef0035a418639d296c9e06e9d4d861c,162332851082544,162345092994194,162345831131059,162345831201514,162345832258670,162345831258951,0.003524339,completed,202.0,78.90625,87.91274972548251,,,True,19.72246946208075,15.56226105992309
coarse-direct-c8,direct,tuning,256,1,8,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,7.155308003,7.158628152,256,256,23485,745c0f9b9f26d579654bc9128542998375545ea28ecb463bdf8da009799e55a2,162347027047791,162347309775295,162354181442269,162354182355794,162354182869878,162354182385075,0.007072763,completed,202.0,78.90625,87.90567958973593,,,False,35.777635273375665,28.230790332897985
coarse-direct-c16,direct,tuning,256,1,16,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,5.862933971,5.865427481,256,256,23493,addb1b41c21b25d98423dc432b41ad9d2a83e4df5d1fd7267bba472cc8a97ee4,162355222724088,162355594627301,162361084846680,162361085658059,162361086652976,162361085713804,0.004996396,completed,202.0,78.90625,87.91274972548251,,,False,43.664145164564395,34.4537395439141
coarse-pg-c16,pg,tuning,256,1,16,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,8.729141497,8.731222279,256,256,23481,0ba3e7ba349268d5eb2de763f43a2febc5c86b65cb01dfe2eef4807b3cfa0578,162362385155833,162370702102658,162371114267618,162371114297330,162371114835164,162371114329031,0.002766814,completed,202.0,78.90625,87.90567958973593,,,True,29.32705353533118,23.140878180222263
coarse-pg-c32,pg,tuning,256,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,12.064629808,12.066719827,256,256,23480,709520d02b75e8ea68f4bf222fda6945092df39444ee91951a0fd6adffc32fdd,162372608298477,162383865923938,162384672896677,162384672928285,162384673497559,162384672961116,0.002440068,completed,202.0,78.90625,87.71743722548251,,,True,21.219051398514324,16.74315774414021
coarse-direct-c32,direct,tuning,256,1,32,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,5.338707278,5.340796841,256,256,23496,4bb27b06777507fef74b0592f627817a7dec6d4d7d616e2d38893e6711bf23d0,162385780578581,162386549610337,162391118300603,162391119285859,162391119962549,162391119315494,0.003842868,completed,203.0,79.296875,87.84764555881586,,,False,47.95168318273171,38.024186273806784
coarse-direct-c64,direct,tuning,256,1,64,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,5.223176643,5.225350981,256,256,23497,b133cfc4d3b87bdffbc05060db76a1df200ff25da805056da69308656dbbf7ce,162392245698001,162393394964990,162397468774745,162397468874644,162397469369783,162397468900389,0.002535427,completed,202.0,78.90625,87.91274972548251,,,False,49.01231903444932,38.673782988120166
coarse-pg-c64,pg,tuning,256,1,64,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,11.237137063,11.239304771,256,256,23473,589afb36dc819f4bc3eac6018acea73ad0b40ddcc3e4d7bc9c83d1f866b04299,162398970421749,162409135899445,162410207519957,162410207558812,162410208125580,162410207592349,0.002086492,completed,202.0,78.90625,87.71743722548251,,,True,22.781603407056352,17.976108938380403
coarse-pg-c128,pg,tuning,256,1,128,128,134217728,134217728,67108864,300000,compact-buffered,64,True,0,coarse,completed,completed,8.861214883,8.863402725,256,256,23510,b9e21992ffe0d052583131d4702221adeee54da139f71f567ce949e21b492e7a,162411829976961,162420626725486,162420691163930,162420691191844,162420691722682,162420691220864,0.003467082,completed,202.0,78.90625,88.17316639214918,,,True,28.889943803431404,22.795971282395094
