workload,scenario_id,control,limit,repeats,server_version,pgvector_version,model_request_tokens_per_s_mean,model_request_tokens_per_s_median,model_request_tokens_per_s_cv,request_slo_goodput_per_s_median,request_slo_violation_ratio_mean,e2e_s_median,request_e2e_s_p95_median,request_e2e_s_p99_median,vllm_running_mean_median,vllm_waiting_mean_median,vllm_kv_cache_usage_mean_median,mfu_estimate_median,observed_limit_median,configured_limit,bounded_wait_s_median,no_admission_pressure,request_actual_output_tokens_observed_median
long,k128,k,128,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7683.526666666667,7746.546,0.0417263324275245,4.134369,0.65641,36.039354,35.501118,35.901377,113.43243243243244,2.6216216216216215,0.3968091541771021,0.3207176112609556,255.0,256,26.439159,False,0.0
long,k256,k,256,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7301.671666666667,7256.018,0.05756887583712232,1.190887,0.8779486666666667,38.73807,37.845225,37.856198,123.14285714285714,3.2253521126760565,0.5806947023655611,0.3268219342107426,325.0,512,0.0,True,0.0
long,k64,k,64,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8444.608333333334,8502.836,0.012046338526728366,8.024928,0.18564066666666668,33.022105,32.816278,32.896729,78.7560975609756,1.2682926829268293,0.2801846062230162,0.3520683281150806,128.0,128,24.569868,False,0.0
long,w32768,w,32768,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7981.050333333334,7986.729,0.010794378980002734,6.679866,0.2779486666666667,35.030645,34.889616,34.913717,61.1978021978022,0.6813186813186813,0.21638879209223114,0.33067204927425664,32764.0,32768,26.214998,False,0.0
long,w65536,w,65536,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9230.666,9339.835,0.03175811073411578,10.811525,0.134359,30.060515,29.93736,29.944313,100.14285714285714,1.7714285714285714,0.3612124294906787,0.38669427491413905,65532.0,65536,19.966602,False,0.0
long,w98304,w,98304,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7420.564,7490.853,0.08050559051153897,1.76729,0.7384616666666667,37.345306,37.110707,37.184095,103.47297297297297,2.391891891891892,0.4026115486306236,0.31012234172061237,98291.0,98304,27.324694,False,0.0
short,k128,k,128,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4620.3386666666665,4580.708,0.03685289384651098,16.311843,0.082031,30.22344,29.980573,30.028972,117.66666666666667,0.0,0.09868989132053,0.19534227033823878,254.0,256,20.889909,False,0.0
short,k256,k,256,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2783.3606666666665,2785.037,0.03036005082728946,0.73915,0.8216146666666666,48.717656,48.541821,48.569254,120.71794871794872,0.0,0.15655289407081796,0.11878366134280437,512.0,512,0.0,True,0.0
short,k64,k,64,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4501.419666666667,4433.809,0.02849126296066539,16.470559,0.05403633333333333,30.842913,29.834665,29.905348,83.78378378378379,0.0,0.062043061373119435,0.1890668374614669,128.0,128,23.41617,False,0.0
short,w32768,w,32768,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3675.109,3818.046,0.07769412184543084,6.290413,0.6686193333333333,36.404607,35.707756,36.068407,110.59154929577464,0.0,0.11396237816252003,0.16281418854048307,32768.0,32768,25.780192,False,0.0
short,w65536,w,65536,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5196.411666666667,4948.903,0.18315643863601458,18.832204,0.05924466666666667,27.187471,26.979566,27.040694,177.22448979591837,0.0,0.1612976572333428,0.21104048817501064,49318.0,65536,0.0,True,0.0
short,w98304,w,98304,3,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4779.59,5406.092,0.33939076737892965,20.279272,0.16406266666666666,25.247455,24.937048,24.993628,205.29166666666666,0.0,0.16869533754332008,0.23052408654177403,49318.0,98304,0.0,True,0.0
