sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.00025273673236370087,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,355.37
0,0.00025273673236370087,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,322.28
1,0.3999695088714361,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,244.91
1,0.3999695088714361,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,219.98
2,0.8024902381002903,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,162.46
2,0.8024902381002903,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,136.12
3,1.1468325108289719,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,136.26
3,1.1468325108289719,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,113.38
4,1.5119713433086872,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,171.79
4,1.5119713433086872,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,167.7
5,1.928421774879098,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,280.79
5,1.928421774879098,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,280.1
6,2.3254224620759487,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,408.66
6,2.3254224620759487,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,405.33
7,2.70386216416955,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,414.42
7,2.70386216416955,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,400.35
8,3.1181800421327353,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,418.34
8,3.1181800421327353,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,398.83
9,3.5347637459635735,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,415.23
9,3.5347637459635735,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,395.75
10,3.9588339757174253,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,418.95
10,3.9588339757174253,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,394.57
11,4.3732647225260735,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,419.01
11,4.3732647225260735,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,393.14
12,4.787027902901173,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,414.0
12,4.787027902901173,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,389.63
13,5.180490251630545,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,411.05
13,5.180490251630545,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,389.49
14,5.595983922481537,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,413.31
14,5.595983922481537,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,390.42
15,5.967901347205043,0,NVIDIA GeForce RTX 4090,66.0,23110.0,24564.0,402.79
15,5.967901347205043,1,NVIDIA GeForce RTX 4090,17.0,23110.0,24564.0,354.58
