sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.0003297831863164902,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,24.46
0,0.0003297831863164902,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,17.09
1,0.3851318061351776,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,24.46
1,0.3851318061351776,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,17.06
2,0.7868401277810335,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,24.43
2,0.7868401277810335,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,17.06
3,1.132198628038168,0,NVIDIA GeForce RTX 4090,93.0,23110.0,24564.0,33.1
3,1.132198628038168,1,NVIDIA GeForce RTX 4090,92.0,23110.0,24564.0,25.26
4,1.5269359312951565,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,108.42
4,1.5269359312951565,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,137.16
