sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.00024254433810710907,0,NVIDIA GeForce RTX 4090,5.0,23008.0,24564.0,270.78
0,0.00024254433810710907,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,246.75
1,0.4123347718268633,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,243.85
1,0.4123347718268633,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,211.55
2,0.8112565688788891,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,135.47
2,0.8112565688788891,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,97.7
3,1.2271623965352774,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,185.64
3,1.2271623965352774,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,134.74
4,1.6240850929170847,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,245.18
4,1.6240850929170847,1,NVIDIA GeForce RTX 4090,38.0,23008.0,24564.0,224.9
