sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.00020301342010498047,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,376.73
0,0.00020301342010498047,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,301.2
1,0.36379084922373295,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,253.18
1,0.36379084922373295,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,196.53
2,0.7453174497932196,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,151.6
2,0.7453174497932196,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,121.16
3,1.115482658147812,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,151.6
3,1.115482658147812,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,121.16
4,1.4981741141527891,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,151.6
4,1.4981741141527891,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,121.16
5,1.9025048892945051,0,NVIDIA GeForce RTX 4090,65.0,23202.0,24564.0,124.33
5,1.9025048892945051,1,NVIDIA GeForce RTX 4090,98.0,22634.0,24564.0,109.75
6,2.274956066161394,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,207.66
6,2.274956066161394,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,188.59
7,2.68260120972991,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,259.65
7,2.68260120972991,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,236.58
8,3.0947843585163355,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.26
8,3.0947843585163355,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,436.1
9,3.5014006420969963,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.73
9,3.5014006420969963,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,444.9
10,3.892695626243949,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,444.45
10,3.892695626243949,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.51
11,4.304745834320784,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.01
11,4.304745834320784,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,445.43
12,4.655368451029062,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.2
12,4.655368451029062,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.86
13,5.009554985910654,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.72
13,5.009554985910654,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.87
14,5.3991696164011955,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.04
14,5.3991696164011955,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.02
15,5.7891657296568155,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.73
15,5.7891657296568155,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.21
16,6.138301437720656,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.59
16,6.138301437720656,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.21
17,6.490108646452427,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.45
17,6.490108646452427,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.54
18,6.898056745529175,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.35
18,6.898056745529175,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.28
19,7.286091294139624,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,443.12
19,7.286091294139624,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.9
20,7.6936273742467165,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.07
20,7.6936273742467165,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.12
21,8.101258546113968,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.55
21,8.101258546113968,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,448.28
22,8.496001293882728,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.8
22,8.496001293882728,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,448.29
23,8.86307305842638,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.97
23,8.86307305842638,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.23
24,9.250462828204036,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.79
24,9.250462828204036,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,448.16
25,9.6566011775285,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.09
25,9.6566011775285,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,449.01
26,10.024352243170142,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.1
26,10.024352243170142,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.02
27,10.406747560948133,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.51
27,10.406747560948133,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,444.43
28,10.776695862412453,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.82
28,10.776695862412453,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,441.25
29,11.142773183062673,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.54
29,11.142773183062673,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,445.0
30,11.53219485655427,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.42
30,11.53219485655427,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,444.7
31,11.901868984103203,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.82
31,11.901868984103203,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,443.84
32,12.27220150642097,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.19
32,12.27220150642097,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,441.93
33,12.622189281508327,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.04
33,12.622189281508327,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,442.7
34,12.973010769113898,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.31
34,12.973010769113898,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,442.49
35,13.378347242251039,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.61
35,13.378347242251039,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,445.02
36,13.786134146153927,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,445.05
36,13.786134146153927,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,438.84
37,14.17220121063292,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.07
37,14.17220121063292,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,442.17
38,14.557313216850162,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.36
38,14.557313216850162,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,436.02
39,14.966724185273051,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.85
39,14.966724185273051,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,432.46
40,15.35668214224279,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.5
40,15.35668214224279,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,432.01
41,15.760064385831356,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.2
41,15.760064385831356,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,437.87
42,16.129274746403098,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.71
42,16.129274746403098,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,437.57
43,16.537410805001855,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.27
43,16.537410805001855,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,436.42
44,16.94439216516912,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.29
44,16.94439216516912,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,436.54
45,17.30762499012053,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,450.46
45,17.30762499012053,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,435.67
46,17.693261625245214,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.77
46,17.693261625245214,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,437.33
47,18.07682516053319,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.95
47,18.07682516053319,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,434.55
48,18.477083537727594,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.12
48,18.477083537727594,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,437.73
49,18.864255433902144,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.49
49,18.864255433902144,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,439.32
50,19.269351981580257,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.4
50,19.269351981580257,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,445.56
51,19.65868368372321,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.85
51,19.65868368372321,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,436.27
52,20.068247320130467,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,450.8
52,20.068247320130467,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,427.87
53,20.472264789044857,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.92
53,20.472264789044857,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,426.58
54,20.84220178052783,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.1
54,20.84220178052783,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,432.93
55,21.209751883521676,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.37
55,21.209751883521676,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,440.74
56,21.595801666378975,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,435.0
56,21.595801666378975,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,433.62
57,21.995909405872226,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,370.84
57,21.995909405872226,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,358.11
